Year,Sector Economico,Codigo de Producto,Producto,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,TOTAL
2024,Total PRODUCTOS TRADICIONALES,1701130000,"AZUCAR DE CAÑA SEGUN NOTA 2 DE ESTE CAP., SIN ADICION DE AROMATIZANTE NI EDULCORANTE",189442.4,288941,200362.28,0,0,0,0,0,0,0,0,0,678745.68
2024,Total PRODUCTOS TRADICIONALES,7801100000,PLOMO EN BRUTO REFINADO,302492.21,2728,366362.55,0,0,0,0,0,0,0,0,0,671582.76
2024,Total PRODUCTOS TRADICIONALES,2713200000,BETUN DE PETROLEO,260648.88,81343.99,81726.33,0,0,0,0,0,0,0,0,0,423719.2
2024,Total PRODUCTOS TRADICIONALES,901211000,"CAFE TOSTADO, SIN DESCAFEINAR, EN GRANO",7667.781,230595.686,138222.122,0,0,0,0,0,0,0,0,0,376485.589
2024,Total PRODUCTOS TRADICIONALES,5103100000,BORRAS DEL PEINADO DE LANA  O  PELO FINO,218843,27432.55,29318.27,0,0,0,0,0,0,0,0,0,275593.82
2024,Total PRODUCTOS TRADICIONALES,1211300000,HOJAS DE COCA,66,229922.36,0,0,0,0,0,0,0,0,0,0,229988.36
2024,Total PRODUCTOS TRADICIONALES,1701140000,"LOS DEMÁS AZUCARES DE CAÑA, SIN ADICION DE AROMATIZANTE NI EDULCORANTE",103508.7,17537.574,103485.61,0,0,0,0,0,0,0,0,0,224531.884
2024,Total PRODUCTOS TRADICIONALES,2620990000,"LAS DEMAS ESCORIAS, CENIZAS Y RESIDUOS QUE CONTENGAN METAL, ARSENICO O SUS COMPUESTOS",195293.28,0,0,0,0,0,0,0,0,0,0,0,195293.28
2024,Total PRODUCTOS TRADICIONALES,5101190000,"LAS DEMAS LANAS SIN CARCER NI PEINAR, SUCIA, INCL. LA LAVADA EN VIVO",53577.7,85652.4,17907.96,0,0,0,0,0,0,0,0,0,157138.06
2024,Total PRODUCTOS TRADICIONALES,5202990000,LOS DEMAS  DESPERDICIOS DE HILADOS,17642.75,65688.8,48328.63,0,0,0,0,0,0,0,0,0,131660.18
